订单编号,下单时间,客户ID,商品名称,类别,数量,单价,金额,支付方式,收货城市
ORD000310,2024-02-03,C1087,AirPods Pro,电子产品,5,418.9,2094.5,支付宝,成都
ORD000311,2024-01-19,C1095,T恤,服装,5,1724.13,8620.65,货到付款,重庆
ORD000312,2024-02-14,C1181,连衣裙,服装,4,1305.38,5221.52,银行卡,深圳
ORD000313,2024-01-01,C1179,精华液,美妆,270,371.86,100402.2,货到付款,重庆
ORD000314,2024-05-07,C1036,进口牛奶,食品,5,226.14,1130.7,银行卡,上海
ORD000315,2024-02-23,C1063,AirPods Pro,电子产品,4,42.56,170.24,微信,成都
ORD000316,2024-04-15,C1126,收纳箱,家居,4,1938.82,7755.28,货到付款,成都
ORD000317,2024-01-09,C1075,进口牛奶,食品,2,913.55,1827.1,微信,成都
ORD000318,2024-01-24,C1086,沙发,家居,1,1103.15,1103.15,货到付款,北京
ORD000319,2024-02-22,C1048,沙发,家居,1,220.49,220.49,货到付款,西安
ORD000320,2024-04-10,C1146,深度学习,图书,2,209.91,,货到付款,广州
ORD000321,2024-01-07,C1052,洗面奶,美妆,4,415.36,1661.44,支付宝,杭州
ORD000322,2024-03-08,C1023,收纳箱,家居,4,1791.86,7167.44,货到付款,广州
ORD000323,2024-02-27,C1068,AirPods Pro,电子产品,4,940.81,3763.24,微信,广州
ORD000324,2024-05-30,C1058,SQL必知必会,图书,4,1942.0,7768.0,微信,武汉
ORD000325,2024-01-21,C1101,加湿器,家居,2,963.0,1926.0,微信,西安
ORD000326,2024-04-24,C1044,进口牛奶,食品,1,1899.52,1899.52,支付宝,深圳
ORD000327,2024-06-09,C1037,香水,美妆,2,1994.59,3989.18,银行卡,成都
ORD000328,2024-03-11,C1133,加湿器,家居,4,1113.07,4452.28,货到付款,北京
ORD000329,2024-05-25,C1150,台灯,家居,4,316.29,1265.16,微信,上海
ORD000330,2024-06-16,C1124,巧克力,食品,4,542.99,2171.96,货到付款,北京
ORD000331,2024-03-25,C1176,香水,美妆,1,803.67,803.67,支付宝,北京
ORD000332,2024-05-05,C1178,AirPods Pro,电子产品,3,635.68,1907.04,微信,深圳
ORD000333,2024-01-23,C1048,深度学习,图书,4,1217.86,4871.44,货到付款,深圳
ORD000334,2024-02-10,C1016,巧克力,食品,1,1040.23,1040.23,银行卡,西安
ORD000335,2024-02-21,C1014,坚果礼盒,食品,2,401.67,803.34,支付宝,北京
ORD000336,2024-06-11,C1031,深度学习,图书,4,1020.15,4080.6,微信,深圳
ORD000337,2024-02-11,C1066,加湿器,家居,,712.52,3562.6,微信,杭州
ORD000338,2024-03-09,C1166,牛仔裤,服装,,1361.84,2723.68,货到付款,西安
ORD000339,2024-06-02,C1002,iPad,电子产品,2,1301.8,2603.6,支付宝,杭州
ORD000340,2024-03-30,C1117,精华液,美妆,4,1793.06,7172.24,银行卡,深圳
ORD000341,2024-06-18,C1095,加湿器,家居,1,34.55,34.55,银行卡,杭州
ORD000342,2024-06-15,C1076,深度学习,图书,3,537.07,1611.21,支付宝,广州
ORD000343,2024-01-07,C1167,咖啡豆,食品,3,1367.9,4103.7,货到付款,杭州
ORD000344,2024-03-28,C1185,小米手环,电子产品,5,1635.71,8178.55,支付宝,西安
ORD000345,2024-06-17,C1142,SQL必知必会,图书,3,1693.93,5081.79,支付宝,杭州
ORD000346,2024-02-26,C1090,进口牛奶,食品,3,1315.78,3947.34,支付宝,杭州
ORD000347,2024-04-30,C1013,巧克力,食品,4,1705.4,6821.6,微信,南京
ORD000348,2024-02-08,C1035,加湿器,家居,3,837.95,2513.85,支付宝,成都
ORD000349,2024-02-16,C1199,沙发,家居,3,1727.54,5182.62,微信,南京
ORD000350,2024-02-13,C1147,iPhone 15,电子产品,4,561.59,2246.36,支付宝,南京
ORD000351,2024-05-02,C1098,收纳箱,家居,4,869.47,3477.88,微信,北京
ORD000352,2024-01-02,C1160,SQL必知必会,图书,2,55.47,110.94,支付宝,深圳
ORD000353,2024-01-17,C1011,加湿器,家居,5,626.11,3130.55,银行卡,杭州
ORD000354,2024-05-05,C1091,沙发,家居,3,1992.36,5977.08,支付宝,广州
ORD000355,2024-01-06,C1150,牛仔裤,服装,2,438.16,876.32,支付宝,上海
ORD000356,2024-06-01,C1012,精华液,美妆,450,1253.81,564214.5,微信,北京
ORD000357,2024-02-09,C1052,小米手环,电子产品,3,959.3,2877.9,微信,杭州
ORD000358,2024-01-27,C1130,茶叶,食品,2,849.27,1698.54,微信,杭州
ORD000359,2024-04-01,C1180,羽绒服,服装,5,1946.78,9733.9,货到付款,杭州
ORD000360,2024-01-04,C1171,香水,美妆,3,484.32,1452.96,微信,上海
ORD000361,2024-01-26,C1065,小米手环,电子产品,281,1452.66,408197.46,支付宝,南京
ORD000362,2024-04-02,C1173,MacBook Air,电子产品,1,1707.45,1707.45,银行卡,武汉
ORD000363,2024-02-13,C1084,iPhone 15,电子产品,2,1333.44,2666.88,银行卡,南京
ORD000364,2024-04-12,C1116,深度学习,图书,2,245.39,490.78,银行卡,武汉
ORD000365,2024-01-16,C1040,T恤,服装,2,1398.42,2796.84,微信,武汉
ORD000366,2024-04-01,C1156,沙发,家居,5,771.91,3859.55,微信,广州
ORD000367,2024-03-21,C1003,台灯,家居,1,537.99,537.99,支付宝,成都
ORD000368,2024-06-22,C1164,沙发,家居,4,704.58,2818.32,货到付款,广州
ORD000369,2024-04-30,C1126,iPhone 15,电子产品,2,1021.02,2042.04,支付宝,上海
ORD000370,2024-06-13,C1096,Python数据分析,图书,5,460.96,2304.8,货到付款,深圳
ORD000371,2024-05-07,C1190,iPad,电子产品,4,645.8,2583.2,微信,上海
ORD000372,2024-05-10,C1143,小米手环,电子产品,5,1282.33,6411.65,支付宝,南京
ORD000373,2024-06-07,C1153,连衣裙,服装,3,1129.1,3387.3,货到付款,成都
ORD000374,2024-06-11,C1074,T恤,服装,,723.18,2169.54,银行卡,上海
ORD000375,2024-02-20,C1048,香水,美妆,1,523.49,523.49,微信,武汉
ORD000376,2024-06-11,C1172,Python数据分析,图书,4,112.07,448.28,微信,南京
ORD000377,2024-05-21,C1110,台灯,家居,5,1477.7,7388.5,货到付款,西安
ORD000378,2024-06-02,C1155,牛仔裤,服装,1,787.06,787.06,银行卡,西安
ORD000379,2024-03-28,C1075,面膜,美妆,3,807.78,2423.34,货到付款,广州
ORD000380,2024-05-21,C1161,巧克力,食品,5,1724.2,8621.0,支付宝,深圳
ORD000381,2024-06-26,C1163,面膜,美妆,2,1017.71,2035.42,银行卡,上海
ORD000382,2024-04-18,C1003,香水,美妆,5,586.14,2930.7,微信,北京
ORD000383,2024-02-07,C1015,机器学习实战,图书,3,1373.11,4119.33,银行卡,深圳
ORD000384,2024-06-14,C1143,小米手环,电子产品,5,1732.39,8661.95,货到付款,深圳
ORD000385,2024-06-24,C1080,口红,美妆,4,787.36,3149.44,微信,北京
ORD000386,2024-05-19,C1189,沙发,家居,3,1515.11,4545.33,支付宝,深圳
ORD000387,2024-01-11,C1109,牛仔裤,服装,5,256.32,1281.6,银行卡,西安
ORD000388,2024-02-09,C1010,AirPods Pro,电子产品,4,1425.18,5700.72,支付宝,成都
ORD000389,2024-05-20,C1091,精华液,美妆,4,1584.02,6336.08,微信,成都
ORD000390,2024-04-13,C1023,进口牛奶,食品,4,1095.3,4381.2,银行卡,深圳
ORD000391,2024-05-23,C1192,机器学习实战,图书,5,1070.39,5351.95,微信,上海
ORD000392,2024-06-23,C1082,茶叶,食品,2,1918.62,3837.24,货到付款,上海
ORD000393,2024-04-24,C1124,巧克力,食品,5,1609.58,8047.9,微信,杭州
ORD000394,2024-06-09,C1016,MacBook Air,电子产品,5,1075.75,5378.75,支付宝,深圳
ORD000395,2024-02-09,C1006,咖啡豆,食品,,1498.84,1498.84,货到付款,成都
ORD000396,2024-02-28,C1066,SQL必知必会,图书,1,1158.43,1158.43,货到付款,武汉
ORD000397,2024-06-07,C1016,台灯,家居,5,31.68,158.4,微信,上海
ORD000398,2024-04-22,C1097,精华液,美妆,5,191.28,956.4,货到付款,北京
ORD000399,2024-02-06,C1076,加湿器,家居,3,1921.07,5763.21,银行卡,北京
ORD000400,2024-05-20,C1021,小米手环,电子产品,5,800.28,4001.4,银行卡,深圳
ORD000401,2024-02-26,C1157,加湿器,家居,2,338.69,677.38,银行卡,深圳
ORD000402,2024-01-19,C1074,小米手环,电子产品,4,1296.46,5185.84,微信,杭州
ORD000403,2024-03-01,C1025,深度学习,图书,2,1349.17,2698.34,银行卡,重庆
ORD000404,2024-02-09,C1144,SQL必知必会,图书,3,1393.05,4179.15,银行卡,成都
ORD000405,2024-02-04,C1173,连衣裙,服装,3,1683.42,5050.26,银行卡,南京
ORD000406,2024-01-21,C1071,坚果礼盒,食品,2,1298.19,2596.38,支付宝,西安
ORD000407,2024-06-10,C1007,口红,美妆,1,1702.18,1702.18,货到付款,重庆
ORD000408,2024-02-27,C1197,咖啡豆,食品,2,744.32,1488.64,银行卡,广州
ORD000409,2024-06-06,C1175,坚果礼盒,食品,2,1699.0,3398.0,支付宝,西安
ORD000410,2024-01-11,C1056,进口牛奶,食品,4,1879.57,7518.28,货到付款,深圳
ORD000411,2024-04-26,C1011,运动鞋,服装,3,788.42,2365.26,微信,成都
ORD000412,2024-02-14,C1096,深度学习,图书,5,1097.81,5489.05,货到付款,成都
ORD000413,2024-03-31,C1088,统计学,图书,2,1042.42,,货到付款,南京
ORD000414,2024-06-13,C1071,沙发,家居,2,172.63,345.26,支付宝,广州
ORD000415,2024-01-30,C1123,MacBook Air,电子产品,4,1626.12,6504.48,货到付款,南京
ORD000416,2024-05-31,C1041,MacBook Air,电子产品,,273.21,273.21,支付宝,西安
ORD000417,2024-06-02,C1144,机器学习实战,图书,5,1917.31,9586.55,微信,杭州
ORD000418,2024-04-15,C1153,收纳箱,家居,2,454.34,908.68,支付宝,重庆
ORD000419,2024-06-01,C1151,机器学习实战,图书,3,1846.26,5538.78,微信,深圳
ORD000420,2024-06-04,C1024,茶叶,食品,4,1656.5,6626.0,支付宝,南京
ORD000421,2024-06-17,C1033,茶叶,食品,1,204.52,204.52,微信,武汉
ORD000422,2024-05-03,C1196,咖啡豆,食品,2,1878.07,3756.14,货到付款,成都
ORD000423,2024-03-06,C1122,洗面奶,美妆,1,862.47,862.47,支付宝,上海
ORD000424,2024-01-31,C1133,T恤,服装,1,1164.41,1164.41,微信,武汉
ORD000425,2024-05-29,C1064,Python数据分析,图书,2,863.62,1727.24,银行卡,西安
ORD000426,2024-05-22,C1123,香水,美妆,2,838.19,1676.38,支付宝,成都
ORD000427,2024-06-17,C1030,巧克力,食品,4,1476.85,5907.4,支付宝,南京
ORD000428,2024-06-06,C1178,咖啡豆,食品,3,1605.69,4817.07,微信,广州
ORD000429,2024-01-17,C1067,连衣裙,服装,5,882.05,4410.25,支付宝,成都
ORD000430,2024-06-01,C1014,加湿器,家居,5,587.21,2936.05,支付宝,南京
ORD000431,2024-06-02,C1130,巧克力,食品,2,86.55,173.1,支付宝,重庆
ORD000432,2024-04-12,C1090,MacBook Air,电子产品,1,1993.7,1993.7,货到付款,武汉
ORD000433,2024-05-23,C1149,iPhone 15,电子产品,5,583.3,2916.5,银行卡,成都
ORD000434,2024-03-07,C1044,连衣裙,服装,4,1158.32,4633.28,货到付款,西安
ORD000435,2024-05-27,C1064,小米手环,电子产品,3,1754.7,5264.1,货到付款,武汉
ORD000436,2024-05-03,C1029,收纳箱,家居,5,1726.81,8634.05,银行卡,上海
ORD000437,2024-03-31,C1132,面膜,美妆,3,836.6,2509.8,微信,杭州
ORD000438,2024-05-01,C1080,Python数据分析,图书,5,1864.16,9320.8,银行卡,深圳
ORD000439,2024-03-01,C1188,面膜,美妆,4,1479.48,5917.92,支付宝,杭州
ORD000440,2024-01-31,C1020,巧克力,食品,,1562.3,3124.6,货到付款,重庆
ORD000441,2024-05-27,C1070,床品四件套,家居,5,644.53,3222.65,货到付款,广州
ORD000442,2024-04-18,C1122,运动鞋,服装,2,127.21,254.42,微信,西安
ORD000443,2024-06-25,C1002,台灯,家居,5,930.94,4654.7,微信,深圳
ORD000444,2024-03-09,C1120,机器学习实战,图书,5,540.44,2702.2,银行卡,成都
ORD000445,2024-02-16,C1146,深度学习,图书,4,573.67,2294.68,支付宝,重庆
ORD000446,2024-02-20,C1037,运动鞋,服装,4,1715.49,6861.96,支付宝,南京
ORD000447,2024-05-04,C1076,洗面奶,美妆,5,1446.71,7233.55,银行卡,西安
ORD000448,2024-05-01,C1161,T恤,服装,2,1631.36,3262.72,微信,南京
ORD000449,2024-02-01,C1089,巧克力,食品,3,59.27,177.81,支付宝,重庆
ORD000450,2024-05-04,C1198,深度学习,图书,3,1352.92,4058.76,货到付款,上海
ORD000451,2024-06-05,C1146,牛仔裤,服装,3,855.2,2565.6,货到付款,上海
ORD000452,2024-04-11,C1069,精华液,美妆,3,1218.66,3655.98,货到付款,成都
ORD000453,2024-03-01,C1169,牛仔裤,服装,1,267.58,267.58,银行卡,上海
ORD000454,2024-04-11,C1134,加湿器,家居,1,72.2,72.2,微信,上海
ORD000455,2024-03-13,C1113,床品四件套,家居,2,509.85,1019.7,支付宝,广州
ORD000456,2024-05-18,C1069,深度学习,图书,4,945.04,3780.16,货到付款,广州
ORD000457,2024-06-12,C1163,咖啡豆,食品,5,881.26,4406.3,银行卡,成都
ORD000458,2024-03-18,C1002,深度学习,图书,4,534.42,2137.68,微信,西安
ORD000459,2024-05-05,C1193,加湿器,家居,,1381.78,1381.78,货到付款,杭州
ORD000460,2024-04-15,C1143,T恤,服装,5,759.81,3799.05,货到付款,武汉
ORD000461,2024-06-09,C1061,沙发,家居,3,176.84,530.52,银行卡,杭州
ORD000462,2024-01-29,C1163,T恤,服装,2,290.52,581.04,货到付款,重庆
ORD000463,2024-05-16,C1005,Python数据分析,图书,2,118.27,236.54,支付宝,上海
ORD000464,2024-05-06,C1055,MacBook Air,电子产品,1,318.35,318.35,银行卡,武汉
ORD000465,2024-02-07,C1014,台灯,家居,3,178.84,536.52,银行卡,武汉
ORD000466,2024-03-04,C1098,统计学,图书,1,261.48,261.48,货到付款,深圳
ORD000467,2024-06-23,C1079,小米手环,电子产品,2,956.19,1912.38,银行卡,广州
ORD000468,2024-03-17,C1050,坚果礼盒,食品,3,972.83,2918.49,银行卡,北京
ORD000469,2024-03-11,C1149,香水,美妆,387,49.83,19284.21,微信,武汉
ORD000470,2024-01-23,C1063,香水,美妆,5,326.88,1634.4,支付宝,南京
ORD000471,2024-02-09,C1179,口红,美妆,1,723.92,723.92,微信,广州
ORD000472,2024-01-06,C1176,精华液,美妆,4,1471.71,5886.84,货到付款,成都
ORD000473,2024-06-27,C1125,香水,美妆,5,603.53,3017.65,支付宝,重庆
ORD000474,2024-05-15,C1039,SQL必知必会,图书,5,337.48,1687.4,货到付款,杭州
ORD000475,2024-01-05,C1158,洗面奶,美妆,4,1472.64,5890.56,银行卡,重庆
ORD000476,2024-05-07,C1196,咖啡豆,食品,2,1057.66,2115.32,支付宝,重庆
ORD000477,2024-02-03,C1045,小米手环,电子产品,1,106.68,106.68,微信,深圳
ORD000478,2024-06-28,C1151,香水,美妆,4,1061.13,4244.52,银行卡,北京
ORD000479,2024-06-12,C1015,连衣裙,服装,1,946.76,946.76,银行卡,西安
ORD000480,2024-01-11,C1187,口红,美妆,5,546.31,2731.55,微信,杭州
ORD000481,2024-02-19,C1134,MacBook Air,电子产品,5,782.96,3914.8,支付宝,重庆
ORD000482,2024-04-27,C1179,台灯,家居,5,728.77,3643.85,货到付款,上海
ORD000483,2024-04-23,C1090,机器学习实战,图书,5,1996.9,9984.5,银行卡,西安
ORD000484,2024-05-24,C1139,香水,美妆,3,1224.66,3673.98,支付宝,武汉
ORD000485,2024-01-09,C1072,收纳箱,家居,4,20.39,81.56,微信,西安
ORD000486,2024-06-25,C1070,牛仔裤,服装,,62.97,188.91,支付宝,上海
ORD000487,2024-03-17,C1023,SQL必知必会,图书,2,481.33,962.66,货到付款,重庆
ORD000488,2024-06-25,C1179,沙发,家居,4,1654.9,6619.6,微信,重庆
ORD000489,2024-03-26,C1089,台灯,家居,1,1845.31,1845.31,货到付款,武汉
ORD000490,2024-06-10,C1097,洗面奶,美妆,1,1275.1,1275.1,微信,杭州
ORD000491,2024-06-21,C1187,SQL必知必会,图书,2,323.33,646.66,货到付款,南京
ORD000492,2024-03-27,C1021,床品四件套,家居,4,313.06,1252.24,货到付款,重庆
ORD000493,2024-02-03,C1195,加湿器,家居,4,1552.17,6208.68,支付宝,南京
ORD000494,2024-05-14,C1063,运动鞋,服装,5,1994.22,9971.1,支付宝,上海
ORD000495,2024-04-18,C1093,坚果礼盒,食品,1,1350.06,1350.06,银行卡,深圳
ORD000496,2024-04-23,C1159,机器学习实战,图书,,1240.12,3720.36,支付宝,南京
ORD000497,2024-01-14,C1062,机器学习实战,图书,,242.5,242.5,支付宝,杭州
ORD000498,2024-05-17,C1054,收纳箱,家居,1,677.12,677.12,支付宝,西安
ORD000499,2024-06-18,C1134,面膜,美妆,1,765.68,765.68,微信,杭州
ORD000500,2024-01-03,C1017,巧克力,食品,1,940.62,940.62,货到付款,杭州
ORD000056,2024-01-06,C1159,iPhone 15,电子产品,2,414.73,829.46,支付宝,深圳
ORD000010,2024-04-12,C1092,SQL必知必会,图书,301,1797.69,541104.69,支付宝,广州
ORD000150,2024-01-22,C1134,咖啡豆,食品,2,1335.46,2670.92,银行卡,上海
ORD000445,2024-02-16,C1146,深度学习,图书,4,573.67,2294.68,支付宝,重庆
ORD000453,2024-03-01,C1169,牛仔裤,服装,1,267.58,267.58,银行卡,上海
ORD000333,2024-01-23,C1048,深度学习,图书,4,1217.86,4871.44,货到付款,深圳
ORD000198,2024-03-04,C1001,牛仔裤,服装,4,660.73,2642.92,银行卡,武汉
ORD000119,2024-03-30,C1001,羽绒服,服装,3,1844.64,5533.92,支付宝,广州
ORD000195,2024-01-03,C1076,沙发,家居,3,1755.95,5267.85,微信,成都
ORD000261,2024-04-18,C1026,iPad,电子产品,5,452.71,2263.55,支付宝,杭州
ORD000364,2024-04-12,C1116,深度学习,图书,2,245.39,490.78,银行卡,武汉
ORD000051,2024-04-09,C1197,台灯,家居,2,1669.12,,微信,重庆
ORD000463,2024-05-16,C1005,Python数据分析,图书,2,118.27,236.54,支付宝,上海
ORD000162,2024-05-23,C1030,MacBook Air,电子产品,4,1045.14,4180.56,银行卡,杭州
ORD000249,2024-04-26,C1200,面膜,美妆,3,637.54,1912.62,支付宝,西安
