订单号,商品1,商品2,商品3,商品4,商品5
TXN00574,啤酒,尿布,饼干,可乐,面包
TXN00575,啤酒,尿布,巧克力,茶叶,蔬菜
TXN00576,鸡蛋,肉类,咖啡,巧克力,
TXN00577,咖啡,薯片,茶叶,鸡蛋,
TXN00578,肉类,啤酒,饼干,,
TXN00579,咖啡,薯片,可乐,肉类,饼干
TXN00580,牛奶,鸡蛋,可乐,,
TXN00581,咖啡,饼干,面包,茶叶,薯片
TXN00582,巧克力,水果,,,
TXN00583,肉类,水果,,,
TXN00584,饼干,咖啡,,,
TXN00585,面包,坚果,尿布,可乐,茶叶
TXN00586,面包,蔬菜,,,
TXN00587,薯片,茶叶,尿布,鸡蛋,巧克力
TXN00588,咖啡,鸡蛋,啤酒,饼干,
TXN00589,啤酒,尿布,水果,肉类,咖啡
TXN00590,肉类,鸡蛋,,,
TXN00591,鸡蛋,面包,,,
TXN00592,水果,鸡蛋,,,
TXN00593,蔬菜,可乐,,,
TXN00594,鸡蛋,水果,,,
TXN00595,水果,啤酒,蔬菜,,
TXN00596,可乐,尿布,,,
TXN00597,啤酒,尿布,牛奶,面包,茶叶
TXN00598,啤酒,尿布,牛奶,巧克力,茶叶
TXN00599,茶叶,啤酒,,,
TXN00600,啤酒,尿布,坚果,咖啡,巧克力
TXN00601,蔬菜,水果,,,
TXN00602,肉类,咖啡,巧克力,,
TXN00603,啤酒,尿布,巧克力,可乐,肉类
TXN00604,茶叶,尿布,肉类,巧克力,薯片
TXN00605,牛奶,面包,饼干,可乐,薯片
TXN00606,水果,面包,饼干,,
TXN00607,蔬菜,薯片,牛奶,茶叶,啤酒
TXN00608,牛奶,鸡蛋,可乐,,
TXN00609,牛奶,啤酒,鸡蛋,,
TXN00610,啤酒,尿布,薯片,鸡蛋,坚果
TXN00611,饼干,茶叶,,,
TXN00612,啤酒,尿布,咖啡,可乐,
TXN00613,鸡蛋,肉类,坚果,尿布,
TXN00614,面包,鸡蛋,薯片,咖啡,
TXN00615,牛奶,咖啡,,,
TXN00616,可乐,咖啡,茶叶,,
TXN00617,鸡蛋,饼干,可乐,,
TXN00618,鸡蛋,水果,薯片,,
TXN00619,饼干,鸡蛋,茶叶,,
TXN00620,啤酒,尿布,肉类,鸡蛋,巧克力
TXN00621,咖啡,饼干,茶叶,,
TXN00622,牛奶,水果,,,
TXN00623,啤酒,尿布,牛奶,,
TXN00624,啤酒,坚果,茶叶,,
TXN00625,水果,尿布,薯片,,
TXN00626,鸡蛋,薯片,,,
TXN00627,尿布,饼干,,,
TXN00628,茶叶,肉类,巧克力,面包,
TXN00629,水果,牛奶,肉类,茶叶,可乐
TXN00630,牛奶,面包,尿布,坚果,咖啡
TXN00631,饼干,蔬菜,肉类,,
TXN00632,啤酒,咖啡,鸡蛋,肉类,
TXN00633,水果,坚果,薯片,蔬菜,啤酒
TXN00634,牛奶,面包,肉类,茶叶,蔬菜
TXN00635,啤酒,尿布,坚果,肉类,巧克力
TXN00636,牛奶,啤酒,鸡蛋,面包,
TXN00637,啤酒,尿布,薯片,茶叶,坚果
TXN00638,牛奶,可乐,巧克力,茶叶,
TXN00639,肉类,坚果,茶叶,牛奶,可乐
TXN00640,饼干,可乐,坚果,面包,
TXN00641,啤酒,尿布,鸡蛋,水果,蔬菜
TXN00642,啤酒,水果,,,
TXN00643,可乐,鸡蛋,巧克力,面包,薯片
TXN00644,坚果,肉类,饼干,,
TXN00645,啤酒,蔬菜,巧克力,尿布,茶叶
TXN00646,啤酒,水果,,,
TXN00647,可乐,薯片,坚果,肉类,
TXN00648,牛奶,面包,水果,饼干,啤酒
TXN00649,牛奶,面包,肉类,,
TXN00650,啤酒,可乐,肉类,巧克力,坚果
TXN00651,咖啡,可乐,肉类,饼干,
TXN00652,鸡蛋,咖啡,啤酒,,
TXN00653,蔬菜,啤酒,坚果,面包,
TXN00654,啤酒,尿布,牛奶,面包,蔬菜
TXN00655,可乐,咖啡,巧克力,牛奶,饼干
TXN00656,可乐,尿布,巧克力,,
TXN00657,肉类,饼干,水果,,
TXN00658,面包,饼干,可乐,牛奶,
TXN00659,蔬菜,啤酒,,,
TXN00660,坚果,茶叶,咖啡,肉类,
TXN00661,牛奶,尿布,,,
TXN00662,咖啡,尿布,可乐,,
TXN00663,尿布,饼干,茶叶,啤酒,
TXN00664,牛奶,面包,茶叶,水果,咖啡
TXN00665,肉类,薯片,,,
TXN00666,水果,啤酒,,,
TXN00667,咖啡,饼干,巧克力,面包,
TXN00668,饼干,尿布,啤酒,,
TXN00669,牛奶,面包,水果,薯片,蔬菜
TXN00670,牛奶,鸡蛋,啤酒,坚果,
TXN00671,尿布,可乐,茶叶,蔬菜,肉类
TXN00672,茶叶,巧克力,啤酒,薯片,
TXN00673,鸡蛋,面包,坚果,巧克力,
TXN00674,牛奶,面包,水果,饼干,
TXN00675,薯片,巧克力,尿布,,
TXN00676,牛奶,尿布,蔬菜,坚果,啤酒
TXN00677,牛奶,面包,饼干,可乐,咖啡
TXN00678,可乐,面包,,,
TXN00679,牛奶,茶叶,啤酒,咖啡,
TXN00680,薯片,水果,茶叶,可乐,
TXN00681,啤酒,尿布,肉类,蔬菜,
TXN00682,面包,薯片,水果,蔬菜,
TXN00683,巧克力,水果,可乐,,
TXN00684,面包,巧克力,,,
TXN00685,牛奶,面包,茶叶,巧克力,
TXN00686,啤酒,茶叶,水果,牛奶,面包
TXN00687,鸡蛋,巧克力,,,
TXN00688,牛奶,面包,水果,坚果,薯片
TXN00689,蔬菜,尿布,,,
TXN00690,啤酒,可乐,,,
TXN00691,坚果,薯片,,,
TXN00692,啤酒,尿布,巧克力,蔬菜,可乐
TXN00693,啤酒,尿布,牛奶,面包,茶叶
TXN00694,蔬菜,鸡蛋,坚果,啤酒,
TXN00695,啤酒,尿布,牛奶,饼干,咖啡
TXN00696,牛奶,面包,啤酒,巧克力,鸡蛋
TXN00697,鸡蛋,坚果,牛奶,蔬菜,
TXN00698,牛奶,肉类,坚果,啤酒,
TXN00699,饼干,薯片,水果,茶叶,巧克力
TXN00700,牛奶,面包,水果,可乐,茶叶
TXN00701,坚果,可乐,茶叶,,
TXN00702,肉类,啤酒,,,
TXN00703,面包,可乐,薯片,饼干,
TXN00704,牛奶,面包,水果,可乐,
TXN00705,坚果,面包,,,
TXN00706,巧克力,肉类,蔬菜,,
TXN00707,牛奶,鸡蛋,薯片,,
TXN00708,蔬菜,咖啡,鸡蛋,牛奶,可乐
TXN00709,巧克力,肉类,薯片,蔬菜,
TXN00710,巧克力,牛奶,,,
TXN00711,蔬菜,茶叶,,,
TXN00712,牛奶,面包,薯片,坚果,鸡蛋
TXN00713,啤酒,尿布,巧克力,,
TXN00714,可乐,茶叶,,,
TXN00715,尿布,坚果,,,
TXN00716,坚果,水果,,,
TXN00717,坚果,面包,尿布,牛奶,水果
TXN00718,牛奶,面包,尿布,坚果,蔬菜
TXN00719,巧克力,水果,牛奶,可乐,
TXN00720,尿布,薯片,可乐,茶叶,蔬菜
TXN00721,蔬菜,肉类,牛奶,饼干,
TXN00722,啤酒,尿布,面包,鸡蛋,肉类
TXN00723,饼干,巧克力,肉类,坚果,
TXN00724,肉类,茶叶,坚果,,
TXN00725,牛奶,面包,蔬菜,坚果,薯片
TXN00726,饼干,鸡蛋,水果,肉类,
TXN00727,肉类,咖啡,可乐,水果,
TXN00728,牛奶,面包,茶叶,肉类,可乐
TXN00729,牛奶,面包,坚果,茶叶,可乐
TXN00730,可乐,牛奶,茶叶,啤酒,尿布
TXN00731,坚果,水果,蔬菜,肉类,咖啡
TXN00732,可乐,薯片,,,
TXN00733,牛奶,面包,巧克力,肉类,尿布
TXN00734,鸡蛋,啤酒,面包,咖啡,坚果
TXN00735,薯片,鸡蛋,坚果,,
TXN00736,牛奶,水果,,,
TXN00737,蔬菜,可乐,面包,饼干,
TXN00738,薯片,茶叶,,,
TXN00739,牛奶,面包,薯片,啤酒,茶叶
TXN00740,薯片,可乐,牛奶,坚果,
TXN00741,尿布,肉类,鸡蛋,,
TXN00742,牛奶,面包,蔬菜,,
TXN00743,坚果,尿布,咖啡,啤酒,
TXN00744,啤酒,尿布,坚果,咖啡,肉类
TXN00745,水果,啤酒,尿布,咖啡,巧克力
TXN00746,牛奶,面包,蔬菜,茶叶,水果
TXN00747,啤酒,尿布,牛奶,面包,可乐
TXN00748,牛奶,面包,蔬菜,坚果,肉类
TXN00749,牛奶,茶叶,,,
TXN00750,鸡蛋,可乐,薯片,饼干,
TXN00751,茶叶,啤酒,肉类,薯片,咖啡
TXN00752,茶叶,巧克力,薯片,鸡蛋,
TXN00753,水果,坚果,巧克力,鸡蛋,
TXN00754,巧克力,肉类,鸡蛋,薯片,尿布
TXN00755,啤酒,薯片,面包,茶叶,
TXN00756,牛奶,面包,水果,薯片,
TXN00757,薯片,啤酒,水果,咖啡,
TXN00758,鸡蛋,牛奶,尿布,饼干,可乐
TXN00759,咖啡,牛奶,水果,鸡蛋,茶叶
TXN00760,牛奶,面包,咖啡,坚果,水果
TXN00761,啤酒,尿布,肉类,饼干,
TXN00762,咖啡,可乐,水果,,
TXN00763,啤酒,尿布,茶叶,坚果,咖啡
TXN00764,饼干,巧克力,,,
TXN00765,尿布,茶叶,,,
TXN00766,牛奶,茶叶,,,
TXN00767,薯片,鸡蛋,蔬菜,茶叶,
TXN00768,尿布,坚果,啤酒,茶叶,面包
TXN00769,面包,茶叶,坚果,肉类,薯片
TXN00770,茶叶,蔬菜,饼干,鸡蛋,
TXN00771,牛奶,面包,坚果,茶叶,啤酒
TXN00772,尿布,蔬菜,巧克力,饼干,
TXN00773,巧克力,水果,咖啡,可乐,
TXN00774,啤酒,尿布,巧克力,饼干,
TXN00775,面包,薯片,蔬菜,,
TXN00776,啤酒,饼干,可乐,坚果,
TXN00777,蔬菜,巧克力,牛奶,啤酒,
TXN00778,啤酒,巧克力,蔬菜,,
TXN00779,牛奶,面包,尿布,饼干,啤酒
TXN00780,茶叶,可乐,水果,,
TXN00781,尿布,牛奶,饼干,巧克力,啤酒
TXN00782,可乐,牛奶,巧克力,肉类,
TXN00783,鸡蛋,巧克力,水果,,
TXN00784,茶叶,肉类,巧克力,,
TXN00785,巧克力,坚果,水果,,
TXN00786,饼干,水果,茶叶,,
TXN00787,尿布,咖啡,茶叶,啤酒,蔬菜
TXN00788,咖啡,茶叶,薯片,肉类,
TXN00789,肉类,茶叶,牛奶,,
TXN00790,牛奶,面包,尿布,水果,薯片
TXN00791,啤酒,薯片,水果,咖啡,
TXN00792,面包,水果,,,
TXN00793,牛奶,面包,薯片,鸡蛋,尿布
TXN00794,牛奶,面包,饼干,水果,肉类
TXN00795,尿布,水果,,,
TXN00796,尿布,肉类,水果,面包,咖啡
TXN00797,坚果,薯片,咖啡,水果,
TXN00798,鸡蛋,面包,蔬菜,啤酒,
TXN00799,啤酒,茶叶,,,
TXN00800,薯片,蔬菜,饼干,鸡蛋,茶叶
TXN00801,饼干,坚果,薯片,蔬菜,啤酒
TXN00802,啤酒,尿布,巧克力,,
TXN00803,蔬菜,面包,坚果,薯片,
TXN00804,水果,肉类,,,
TXN00805,啤酒,尿布,茶叶,饼干,鸡蛋
TXN00806,啤酒,尿布,牛奶,面包,巧克力
TXN00807,蔬菜,面包,薯片,,
TXN00808,尿布,鸡蛋,咖啡,啤酒,
TXN00809,茶叶,面包,尿布,,
TXN00810,牛奶,巧克力,,,
TXN00811,茶叶,可乐,,,
TXN00812,牛奶,面包,巧克力,饼干,咖啡
TXN00813,薯片,饼干,,,
TXN00814,可乐,饼干,,,
TXN00815,肉类,啤酒,可乐,饼干,鸡蛋
TXN00816,面包,牛奶,茶叶,鸡蛋,啤酒
TXN00817,肉类,鸡蛋,牛奶,,
TXN00818,牛奶,面包,鸡蛋,尿布,薯片
TXN00819,薯片,肉类,饼干,蔬菜,
TXN00820,饼干,牛奶,面包,茶叶,肉类
TXN00821,巧克力,饼干,,,
TXN00822,牛奶,面包,咖啡,巧克力,可乐
TXN00823,水果,薯片,可乐,坚果,咖啡
TXN00824,茶叶,面包,牛奶,水果,薯片
TXN00825,水果,可乐,饼干,蔬菜,
TXN00826,巧克力,可乐,尿布,,
TXN00827,可乐,啤酒,鸡蛋,,
TXN00828,坚果,茶叶,巧克力,薯片,蔬菜
TXN00829,咖啡,薯片,水果,饼干,
TXN00830,巧克力,蔬菜,肉类,尿布,
TXN00831,薯片,巧克力,肉类,咖啡,
TXN00832,巧克力,薯片,肉类,牛奶,
TXN00833,茶叶,薯片,,,
TXN00834,水果,咖啡,,,
TXN00835,啤酒,尿布,薯片,肉类,蔬菜
TXN00836,啤酒,尿布,茶叶,巧克力,薯片
TXN00837,水果,牛奶,薯片,啤酒,坚果
TXN00838,坚果,可乐,蔬菜,啤酒,
TXN00839,可乐,蔬菜,坚果,,
TXN00840,啤酒,尿布,咖啡,,
TXN00841,饼干,啤酒,牛奶,,
TXN00842,薯片,牛奶,,,
TXN00843,茶叶,咖啡,尿布,,
TXN00844,茶叶,咖啡,,,
TXN00845,巧克力,水果,饼干,,
TXN00846,坚果,尿布,可乐,,
TXN00847,咖啡,茶叶,可乐,巧克力,
TXN00848,坚果,饼干,啤酒,,
TXN00849,尿布,面包,薯片,蔬菜,鸡蛋
TXN00850,啤酒,尿布,巧克力,坚果,面包
TXN00851,可乐,牛奶,饼干,水果,面包
TXN00852,可乐,尿布,,,
TXN00853,饼干,蔬菜,肉类,坚果,啤酒
TXN00854,可乐,面包,,,
TXN00855,饼干,巧克力,肉类,薯片,
TXN00856,巧克力,薯片,牛奶,,
TXN00857,啤酒,尿布,可乐,牛奶,鸡蛋
TXN00858,啤酒,尿布,巧克力,水果,饼干
TXN00859,肉类,巧克力,,,
TXN00860,鸡蛋,蔬菜,,,
TXN00861,牛奶,面包,坚果,啤酒,蔬菜
TXN00862,薯片,蔬菜,肉类,巧克力,
TXN00863,咖啡,坚果,,,
TXN00864,饼干,可乐,水果,,
TXN00865,啤酒,尿布,牛奶,面包,饼干
TXN00866,巧克力,肉类,薯片,面包,牛奶
TXN00867,牛奶,饼干,水果,啤酒,茶叶
TXN00868,水果,啤酒,茶叶,牛奶,
TXN00869,饼干,啤酒,可乐,薯片,
TXN00870,巧克力,尿布,,,
TXN00871,鸡蛋,水果,牛奶,蔬菜,茶叶
TXN00872,茶叶,肉类,坚果,,
TXN00873,咖啡,面包,可乐,,
TXN00874,尿布,坚果,牛奶,水果,
TXN00875,咖啡,蔬菜,啤酒,牛奶,
TXN00876,饼干,肉类,,,
TXN00877,鸡蛋,可乐,蔬菜,茶叶,
TXN00878,鸡蛋,啤酒,肉类,牛奶,
TXN00879,可乐,啤酒,巧克力,牛奶,蔬菜
TXN00880,薯片,巧克力,可乐,,
TXN00881,牛奶,饼干,蔬菜,,
TXN00882,尿布,茶叶,巧克力,牛奶,
TXN00883,牛奶,面包,坚果,鸡蛋,
TXN00884,牛奶,面包,啤酒,水果,薯片
TXN00885,啤酒,尿布,牛奶,面包,肉类
TXN00886,坚果,水果,鸡蛋,牛奶,尿布
TXN00887,啤酒,尿布,蔬菜,,
TXN00888,尿布,水果,坚果,咖啡,
TXN00889,饼干,茶叶,坚果,蔬菜,
TXN00890,尿布,巧克力,咖啡,,
TXN00891,啤酒,尿布,水果,巧克力,面包
TXN00892,饼干,鸡蛋,肉类,,
TXN00893,可乐,尿布,鸡蛋,,
TXN00894,水果,薯片,,,
TXN00895,啤酒,尿布,肉类,可乐,茶叶
TXN00896,蔬菜,牛奶,啤酒,巧克力,
TXN00897,咖啡,坚果,蔬菜,薯片,尿布
TXN00898,面包,肉类,茶叶,薯片,牛奶
TXN00899,蔬菜,咖啡,面包,巧克力,
TXN00900,肉类,尿布,巧克力,,
TXN00901,坚果,薯片,牛奶,,
TXN00902,薯片,茶叶,坚果,蔬菜,
TXN00903,啤酒,尿布,薯片,巧克力,坚果
TXN00904,水果,茶叶,,,
TXN00905,饼干,茶叶,薯片,尿布,坚果
TXN00906,坚果,饼干,尿布,薯片,蔬菜
TXN00907,鸡蛋,啤酒,,,
TXN00908,咖啡,蔬菜,茶叶,啤酒,
TXN00909,牛奶,面包,饼干,,
TXN00910,坚果,薯片,蔬菜,尿布,
TXN00911,饼干,尿布,咖啡,面包,可乐
TXN00912,牛奶,面包,茶叶,可乐,肉类
TXN00913,薯片,牛奶,鸡蛋,,
TXN00914,蔬菜,咖啡,茶叶,牛奶,
TXN00915,坚果,茶叶,鸡蛋,,
TXN00916,薯片,啤酒,茶叶,面包,尿布
TXN00917,尿布,面包,饼干,,
TXN00918,牛奶,薯片,,,
TXN00919,茶叶,尿布,薯片,,
TXN00920,坚果,可乐,茶叶,鸡蛋,
TXN00921,啤酒,薯片,茶叶,,
TXN00922,啤酒,尿布,可乐,水果,牛奶
TXN00923,牛奶,水果,,,
TXN00924,啤酒,面包,饼干,巧克力,
TXN00925,水果,薯片,茶叶,鸡蛋,面包
TXN00926,啤酒,尿布,可乐,水果,
TXN00927,啤酒,尿布,巧克力,面包,肉类
TXN00928,牛奶,面包,肉类,坚果,
TXN00929,牛奶,面包,蔬菜,巧克力,
TXN00930,啤酒,尿布,牛奶,鸡蛋,可乐
TXN00931,肉类,坚果,咖啡,,
TXN00932,啤酒,饼干,蔬菜,牛奶,鸡蛋
TXN00933,水果,坚果,肉类,,
TXN00934,水果,坚果,,,
TXN00935,饼干,水果,面包,可乐,
TXN00936,啤酒,尿布,牛奶,面包,咖啡
TXN00937,牛奶,面包,尿布,水果,咖啡
TXN00938,可乐,尿布,饼干,巧克力,鸡蛋
TXN00939,巧克力,牛奶,尿布,饼干,
TXN00940,茶叶,饼干,蔬菜,,
TXN00941,牛奶,面包,蔬菜,茶叶,肉类
TXN00942,饼干,巧克力,尿布,茶叶,蔬菜
TXN00943,肉类,面包,尿布,茶叶,可乐
TXN00944,啤酒,面包,茶叶,薯片,
TXN00945,肉类,鸡蛋,啤酒,蔬菜,
TXN00946,茶叶,坚果,蔬菜,牛奶,水果
TXN00947,茶叶,蔬菜,可乐,坚果,
TXN00948,坚果,面包,,,
TXN00949,牛奶,面包,蔬菜,茶叶,巧克力
TXN00950,尿布,可乐,水果,,
TXN00951,啤酒,饼干,,,
TXN00952,牛奶,面包,可乐,肉类,咖啡
TXN00953,坚果,尿布,咖啡,水果,薯片
TXN00954,茶叶,薯片,巧克力,蔬菜,
TXN00955,肉类,茶叶,饼干,坚果,
TXN00956,巧克力,茶叶,饼干,水果,
TXN00957,坚果,薯片,,,
TXN00958,坚果,可乐,肉类,,
TXN00959,肉类,尿布,蔬菜,巧克力,
TXN00960,鸡蛋,饼干,牛奶,,
TXN00961,牛奶,面包,薯片,啤酒,尿布
TXN00962,肉类,水果,,,
TXN00963,牛奶,面包,巧克力,薯片,
TXN00964,牛奶,面包,肉类,蔬菜,
TXN00965,肉类,坚果,牛奶,薯片,
TXN00966,啤酒,薯片,水果,,
TXN00967,啤酒,鸡蛋,巧克力,咖啡,
TXN00968,坚果,可乐,巧克力,咖啡,啤酒
TXN00969,牛奶,面包,茶叶,尿布,
TXN00970,牛奶,面包,可乐,,
TXN00971,啤酒,尿布,咖啡,巧克力,
TXN00972,鸡蛋,蔬菜,面包,,
TXN00973,蔬菜,巧克力,茶叶,可乐,
TXN00974,巧克力,鸡蛋,饼干,牛奶,
TXN00975,面包,坚果,茶叶,尿布,啤酒
TXN00976,牛奶,尿布,坚果,,
TXN00977,牛奶,面包,啤酒,可乐,
TXN00978,坚果,鸡蛋,面包,,
TXN00979,牛奶,面包,薯片,茶叶,啤酒
TXN00980,啤酒,尿布,巧克力,鸡蛋,牛奶
TXN00981,饼干,尿布,啤酒,,
TXN00982,可乐,薯片,坚果,牛奶,鸡蛋
TXN00983,薯片,坚果,水果,牛奶,可乐
TXN00984,薯片,坚果,鸡蛋,可乐,
TXN00985,肉类,啤酒,,,
TXN00986,鸡蛋,饼干,,,
TXN00987,坚果,薯片,,,
TXN00988,牛奶,面包,水果,饼干,可乐
TXN00989,啤酒,尿布,茶叶,面包,
TXN00990,巧克力,可乐,,,
TXN00991,茶叶,鸡蛋,啤酒,,
TXN00992,牛奶,面包,茶叶,咖啡,啤酒
TXN00993,水果,尿布,咖啡,蔬菜,
TXN00994,薯片,饼干,牛奶,巧克力,蔬菜
TXN00995,咖啡,水果,,,
TXN00996,可乐,肉类,尿布,,
TXN00997,啤酒,尿布,牛奶,面包,肉类
TXN00998,尿布,面包,,,
TXN00999,薯片,咖啡,,,
TXN01000,面包,牛奶,蔬菜,啤酒,
TXN01001,咖啡,啤酒,巧克力,可乐,
TXN01002,饼干,咖啡,茶叶,薯片,
TXN01003,牛奶,蔬菜,,,
TXN01004,可乐,茶叶,,,
TXN01005,啤酒,尿布,牛奶,肉类,巧克力
TXN01006,饼干,牛奶,面包,鸡蛋,
TXN01007,水果,肉类,茶叶,,
TXN01008,面包,饼干,肉类,水果,薯片
TXN01009,蔬菜,饼干,薯片,牛奶,茶叶
TXN01010,咖啡,茶叶,蔬菜,,
TXN01011,牛奶,肉类,,,
TXN01012,茶叶,可乐,,,
TXN01013,咖啡,肉类,面包,,
TXN01014,尿布,肉类,饼干,牛奶,水果
TXN01015,牛奶,可乐,薯片,咖啡,
TXN01016,巧克力,鸡蛋,咖啡,薯片,
TXN01017,饼干,牛奶,肉类,坚果,
TXN01018,啤酒,尿布,牛奶,蔬菜,可乐
TXN01019,可乐,鸡蛋,肉类,咖啡,
TXN01020,牛奶,面包,可乐,茶叶,
TXN01021,茶叶,咖啡,面包,坚果,水果
TXN01022,牛奶,面包,咖啡,,
TXN01023,啤酒,尿布,可乐,巧克力,牛奶
TXN01024,牛奶,面包,巧克力,蔬菜,水果
TXN01025,巧克力,啤酒,,,
TXN01026,肉类,鸡蛋,水果,牛奶,薯片
TXN01027,牛奶,面包,饼干,巧克力,坚果
TXN01028,鸡蛋,咖啡,可乐,水果,坚果
TXN01029,可乐,肉类,巧克力,咖啡,
TXN01030,牛奶,饼干,巧克力,啤酒,肉类
TXN01031,咖啡,茶叶,蔬菜,肉类,面包
TXN01032,牛奶,薯片,面包,,
TXN01033,巧克力,咖啡,蔬菜,,
TXN01034,咖啡,水果,茶叶,肉类,
TXN01035,牛奶,面包,饼干,薯片,
TXN01036,坚果,茶叶,咖啡,水果,
TXN01037,水果,面包,坚果,鸡蛋,
TXN01038,尿布,水果,饼干,坚果,茶叶
TXN01039,肉类,水果,尿布,啤酒,
TXN01040,茶叶,面包,鸡蛋,薯片,坚果
TXN01041,牛奶,咖啡,可乐,,
TXN01042,鸡蛋,可乐,,,
TXN01043,蔬菜,可乐,,,
TXN01044,牛奶,面包,薯片,啤酒,肉类
TXN01045,啤酒,尿布,茶叶,水果,饼干
TXN01046,水果,鸡蛋,坚果,咖啡,饼干
TXN01047,牛奶,面包,鸡蛋,可乐,咖啡
TXN01048,茶叶,水果,饼干,尿布,
TXN01049,水果,鸡蛋,可乐,,
TXN01050,牛奶,面包,尿布,咖啡,薯片
TXN01051,啤酒,尿布,茶叶,鸡蛋,巧克力
TXN01052,水果,可乐,薯片,牛奶,啤酒
TXN01053,牛奶,面包,薯片,巧克力,茶叶
TXN01054,咖啡,肉类,饼干,坚果,茶叶
TXN01055,尿布,啤酒,面包,鸡蛋,肉类
TXN01056,啤酒,尿布,薯片,坚果,水果
TXN01057,牛奶,面包,饼干,薯片,蔬菜
TXN01058,牛奶,蔬菜,尿布,,
TXN01059,可乐,蔬菜,咖啡,,
TXN01060,可乐,鸡蛋,蔬菜,尿布,
TXN01061,水果,可乐,茶叶,饼干,牛奶
TXN01062,牛奶,可乐,蔬菜,尿布,
TXN01063,啤酒,尿布,茶叶,面包,牛奶
TXN01064,鸡蛋,巧克力,饼干,咖啡,
TXN01065,薯片,尿布,蔬菜,,
TXN01066,啤酒,尿布,面包,巧克力,
TXN01067,蔬菜,坚果,肉类,面包,啤酒
TXN01068,薯片,饼干,坚果,,
TXN01069,面包,坚果,,,
TXN01070,尿布,饼干,薯片,,
TXN01071,尿布,巧克力,肉类,鸡蛋,可乐
TXN01072,啤酒,尿布,坚果,薯片,可乐
TXN01073,面包,巧克力,啤酒,,
TXN01074,蔬菜,咖啡,巧克力,鸡蛋,茶叶
TXN01075,饼干,巧克力,,,
TXN01076,肉类,尿布,啤酒,,
TXN01077,坚果,茶叶,,,
TXN01078,饼干,肉类,牛奶,咖啡,
TXN01079,啤酒,尿布,坚果,蔬菜,水果
TXN01080,蔬菜,茶叶,薯片,面包,可乐
TXN01081,啤酒,尿布,肉类,茶叶,咖啡
TXN01082,牛奶,面包,鸡蛋,尿布,肉类
TXN01083,牛奶,面包,可乐,水果,
TXN01084,尿布,肉类,面包,水果,薯片
TXN01085,啤酒,尿布,可乐,坚果,薯片
TXN01086,蔬菜,茶叶,面包,薯片,
TXN01087,水果,面包,饼干,肉类,
TXN01088,水果,鸡蛋,蔬菜,牛奶,薯片
TXN01089,鸡蛋,面包,蔬菜,,
TXN01090,肉类,尿布,,,
TXN01091,水果,面包,尿布,巧克力,
TXN01092,巧克力,水果,薯片,,
TXN01093,蔬菜,面包,尿布,,
TXN01094,啤酒,尿布,牛奶,面包,鸡蛋
TXN01095,尿布,牛奶,鸡蛋,巧克力,蔬菜
TXN01096,可乐,蔬菜,水果,茶叶,
TXN01097,蔬菜,尿布,水果,面包,
TXN01098,茶叶,蔬菜,面包,,
TXN01099,蔬菜,面包,可乐,尿布,
TXN01100,坚果,薯片,,,
TXN01101,啤酒,尿布,牛奶,面包,水果
TXN01102,牛奶,水果,薯片,,
TXN01103,可乐,巧克力,水果,鸡蛋,
TXN01104,水果,尿布,咖啡,,
TXN01105,坚果,咖啡,巧克力,,
TXN01106,饼干,巧克力,面包,肉类,啤酒
TXN01107,薯片,啤酒,茶叶,,
TXN01108,饼干,茶叶,牛奶,坚果,咖啡
TXN01109,蔬菜,咖啡,啤酒,,
TXN01110,肉类,咖啡,可乐,巧克力,茶叶
TXN01111,饼干,巧克力,鸡蛋,面包,牛奶
TXN01112,巧克力,咖啡,牛奶,茶叶,
TXN01113,啤酒,尿布,坚果,茶叶,
TXN01114,坚果,鸡蛋,尿布,饼干,巧克力
TXN01115,尿布,面包,可乐,咖啡,
TXN01116,蔬菜,鸡蛋,饼干,,
TXN01117,蔬菜,水果,薯片,,
TXN01118,茶叶,水果,,,
TXN01119,坚果,可乐,肉类,,
TXN01120,茶叶,巧克力,饼干,,
TXN01121,饼干,咖啡,,,
TXN01122,啤酒,尿布,薯片,饼干,茶叶
TXN01123,蔬菜,啤酒,面包,茶叶,
TXN01124,肉类,面包,坚果,,
TXN01125,咖啡,牛奶,薯片,巧克力,饼干
TXN01126,饼干,坚果,,,
TXN01127,蔬菜,尿布,肉类,坚果,
TXN01128,啤酒,茶叶,薯片,饼干,可乐
TXN01129,鸡蛋,茶叶,面包,啤酒,水果
TXN01130,面包,蔬菜,茶叶,尿布,
TXN01131,咖啡,鸡蛋,巧克力,薯片,
TXN01132,巧克力,坚果,啤酒,,
TXN01133,牛奶,面包,薯片,尿布,
TXN01134,牛奶,面包,咖啡,巧克力,坚果
TXN01135,薯片,面包,肉类,啤酒,
TXN01136,牛奶,面包,啤酒,可乐,茶叶
TXN01137,尿布,面包,,,
TXN01138,牛奶,面包,鸡蛋,啤酒,尿布
TXN01139,巧克力,水果,茶叶,饼干,牛奶
TXN01140,牛奶,面包,啤酒,肉类,水果
TXN01141,面包,茶叶,水果,蔬菜,肉类
TXN01142,巧克力,尿布,肉类,饼干,
TXN01143,坚果,鸡蛋,面包,茶叶,
TXN01144,蔬菜,可乐,啤酒,饼干,
TXN01145,尿布,蔬菜,,,
TXN01146,坚果,牛奶,,,
TXN01147,啤酒,牛奶,可乐,,
TXN01148,肉类,巧克力,牛奶,茶叶,
