客户ID,注册时长(月),使用频率,消费金额,最后一次使用(天前),客服投诉次数,是否流失
C0736,20,22,830.17,180,6,1
C0737,32,4,723.49,227,5,1
C0738,14,19,5533.9,227,2,0
C0739,41,11,5558.48,303,8,1
C0740,30,22,391.27,260,10,1
C0741,33,10,121.1,169,5,0
C0742,45,18,8073.82,187,3,0
C0743,22,20,6285.23,73,6,0
C0744,56,20,9458.29,18,7,0
C0745,2,12,866.61,98,0,0
C0746,27,15,1857.64,66,8,0
C0747,25,18,2461.2,231,0,0
C0748,12,16,8657.27,267,5,0
C0749,37,29,8151.51,80,1,0
C0750,47,19,1747.96,44,3,0
C0751,31,8,75.1,219,3,0
C0752,54,17,3751.19,111,0,0
C0753,17,22,9217.22,105,6,1
C0754,50,30,7641.44,64,6,0
C0755,13,18,3976.92,173,10,1
C0756,27,2,9346.36,244,7,1
C0757,24,30,3531.47,183,7,1
C0758,51,8,7363.38,168,4,0
C0759,1,11,9437.25,328,10,1
C0760,57,15,4839.84,338,2,0
C0761,1,10,439.04,169,8,1
C0762,42,20,7387.01,281,1,1
C0763,35,30,3235.56,167,8,1
C0764,29,5,2151.74,249,8,1
C0765,19,25,3629.9,242,10,1
C0766,10,2,5287.63,79,4,0
C0767,2,26,2898.27,190,0,0
C0768,48,30,7639.12,297,3,0
C0769,25,1,5253.82,61,6,1
C0770,50,22,8230.27,45,5,0
C0771,41,13,9693.61,46,3,0
C0772,2,23,2791.15,340,10,1
C0773,23,2,468.82,160,5,1
C0774,36,10,387.47,329,8,1
C0775,38,5,1344.72,245,0,0
C0776,58,19,6248.56,20,10,0
C0777,39,26,3112.12,124,5,0
C0778,23,24,6975.32,333,8,1
C0779,3,30,6793.57,336,6,1
C0780,14,18,2214.47,150,7,1
C0781,9,28,1689.19,186,5,0
C0782,59,24,1017.92,20,8,0
C0783,16,12,692.98,152,10,1
C0784,43,6,2643.32,332,10,1
C0785,56,26,6145.12,364,6,1
C0786,26,23,2515.46,312,0,0
C0787,47,2,2635.51,109,9,1
C0788,59,23,5510.29,140,8,1
C0789,56,25,5460.14,214,7,1
C0790,41,6,8429.58,54,4,1
C0791,37,13,1139.42,225,0,0
C0792,33,15,2147.03,255,0,0
C0793,33,4,8881.02,209,8,1
C0794,59,18,1071.34,10,3,0
C0795,35,10,3828.29,56,10,0
C0796,7,12,593.76,196,4,0
C0797,60,14,3881.3,79,5,0
C0798,8,5,8667.51,113,6,1
C0799,7,5,4441.68,304,8,1
C0800,29,13,1763.54,83,9,0
C0801,32,26,7468.78,300,4,0
C0802,24,2,5575.96,324,9,1
C0803,42,17,6188.11,232,1,0
C0804,15,21,2243.69,173,7,1
C0805,7,30,4271.8,143,2,0
C0806,53,3,2687.3,130,7,1
C0807,6,29,4203.06,19,4,0
C0808,7,12,1894.28,134,4,0
C0809,44,22,5027.24,325,2,0
C0810,51,14,7398.48,147,5,0
C0811,43,22,8400.83,59,3,0
C0812,53,15,5599.16,131,9,1
C0813,33,16,8293.49,70,0,0
C0814,52,18,8089.35,228,3,0
C0815,60,11,7372.63,160,2,0
C0816,43,14,74.19,249,4,0
C0817,8,10,4393.75,139,0,0
C0818,28,23,1283.54,181,3,0
C0819,21,12,3447.79,45,8,0
C0820,53,14,7212.73,46,3,0
C0821,8,28,6894.91,177,1,0
C0822,37,22,3548.14,68,10,0
C0823,10,28,4838.37,4,5,0
C0824,35,17,6404.2,262,4,0
C0825,34,30,1760.63,7,7,0
C0826,5,5,3943.35,106,4,1
C0827,43,6,6582.92,109,7,1
C0828,34,30,1097.94,128,2,0
C0829,11,15,2512.21,80,6,0
C0830,29,30,7223.96,225,4,0
C0831,40,11,9119.63,261,1,0
C0832,55,10,7635.05,276,7,1
C0833,41,23,4605.15,151,9,1
C0834,44,5,9757.53,149,4,0
C0835,13,26,775.59,214,7,1
C0836,23,21,8854.02,81,6,0
C0837,17,23,8159.08,3,10,0
C0838,26,21,4255.79,225,10,1
C0839,33,7,7644.4,17,3,0
C0840,8,29,7145.99,106,1,0
C0841,39,1,3448.36,155,0,1
C0842,59,7,5568.05,274,3,0
C0843,7,21,3223.04,341,1,0
C0844,7,13,4058.01,277,0,0
C0845,28,5,5400.57,62,9,0
C0846,34,27,6946.58,315,10,1
C0847,56,12,9552.61,37,1,0
C0848,50,29,6698.1,124,9,1
C0849,31,18,9095.43,185,7,1
C0850,16,9,8100.74,163,9,1
C0851,52,3,263.81,194,6,1
C0852,1,17,4231.38,94,3,0
C0853,23,2,2932.55,20,2,0
C0854,42,6,8106.9,160,7,1
C0855,36,21,6070.99,75,5,0
C0856,51,18,9931.64,75,6,0
C0857,7,26,7774.68,173,0,0
C0858,9,3,650.44,149,0,1
C0859,5,11,8671.16,315,9,1
C0860,32,30,6533.53,203,2,0
C0861,57,17,689.74,289,9,1
C0862,31,21,3570.49,217,8,1
C0863,26,14,9331.15,26,8,0
C0864,36,3,7639.86,286,10,1
C0865,60,6,1181.42,22,7,0
C0866,31,7,586.47,352,7,1
C0867,6,30,2841.71,102,9,1
C0868,2,7,6210.25,309,2,1
C0869,4,11,8462.91,341,6,1
C0870,12,13,7971.11,247,0,0
C0871,42,30,2881.23,147,8,1
C0872,53,11,8933.49,230,9,1
C0873,34,23,5365.9,272,9,1
C0874,11,3,2348.81,237,3,1
C0875,35,4,8903.09,90,2,0
C0876,53,7,1770.56,295,7,1
C0877,43,22,1787.81,168,4,1
C0878,19,19,6724.13,347,3,0
C0879,55,29,2992.61,189,4,0
C0880,6,17,5393.2,160,5,0
C0881,30,18,568.51,244,10,1
C0882,54,27,5761.19,139,6,1
C0883,14,13,4140.36,307,8,1
C0884,16,16,8430.59,185,10,1
C0885,42,12,6500.82,144,5,0
C0886,35,16,3640.66,7,7,0
C0887,3,20,5831.52,97,1,0
C0888,10,4,6319.99,40,3,0
C0889,38,23,5028.23,145,3,0
C0890,8,26,7585.76,345,6,1
C0891,38,14,2683.19,60,0,0
C0892,26,1,951.82,317,10,1
C0893,13,30,9190.05,168,2,1
C0894,60,14,1705.49,90,6,0
C0895,37,7,818.76,199,4,0
C0896,25,13,8386.9,117,3,0
C0897,7,10,572.22,282,2,0
C0898,1,3,4779.82,354,7,1
C0899,8,20,7949.8,152,5,0
C0900,48,9,509.7,57,9,0
C0901,37,12,336.97,38,9,0
C0902,1,1,8422.98,171,6,1
C0903,50,15,7989.35,120,10,1
C0904,23,6,8035.56,116,5,0
C0905,6,16,8007.76,123,5,0
C0906,8,8,6538.99,15,2,0
C0907,52,30,9727.79,193,7,1
C0908,7,2,3998.68,168,6,1
C0909,2,6,2983.79,86,3,0
C0910,29,15,4465.76,42,10,0
C0911,3,12,4734.65,256,5,0
C0912,9,23,4985.1,350,9,1
C0913,60,20,8478.05,253,10,1
C0914,50,12,1673.99,63,5,0
C0915,59,17,6263.24,269,9,1
C0916,52,23,1197.69,284,3,0
C0917,7,11,8664.4,59,1,0
C0918,11,24,2667.79,81,4,0
C0919,33,10,9940.31,157,6,1
C0920,29,7,789.91,345,3,0
C0921,60,24,4726.13,136,1,0
C0922,60,1,6839.81,206,9,1
C0923,21,10,9051.73,163,10,1
C0924,4,18,3551.24,3,3,0
C0925,58,4,6512.81,47,7,1
C0926,26,29,9068.25,237,0,0
C0927,14,21,8774.54,59,1,0
C0928,29,7,5345.97,47,10,0
C0929,41,27,6517.27,233,2,1
C0930,16,11,4727.78,195,5,0
C0931,28,9,171.54,33,9,0
C0932,50,28,6517.1,163,4,0
C0933,50,13,7241.84,364,7,1
C0934,36,27,9594.71,149,1,0
C0935,56,9,2097.46,353,2,0
C0936,43,23,9867.93,36,1,0
C0937,31,11,8782.62,338,6,1
C0938,28,5,2783.77,271,2,0
C0939,54,2,6460.0,151,2,1
C0940,48,3,7976.12,217,8,1
C0941,17,13,595.4,266,9,1
C0942,52,12,1023.07,360,5,0
C0943,16,9,9197.53,217,6,1
C0944,21,5,693.06,254,4,0
C0945,21,7,7624.44,120,1,0
C0946,49,28,2739.85,162,0,0
C0947,50,11,6473.46,148,1,0
C0948,57,7,4784.26,335,1,0
C0949,42,22,2941.48,218,3,0
C0950,49,22,168.22,255,8,1
C0951,39,28,6855.22,328,7,1
C0952,35,14,5787.2,351,5,0
C0953,25,2,1159.19,270,3,1
C0954,1,9,1109.45,345,5,0
C0955,18,21,2870.63,157,7,1
C0956,16,8,2711.27,115,5,0
C0957,54,21,8572.69,241,3,0
C0958,39,16,392.56,341,6,1
C0959,33,25,3634.5,186,3,0
C0960,52,27,7038.75,164,0,0
C0961,1,26,5656.91,243,0,0
C0962,48,4,5207.48,319,6,1
C0963,36,19,6980.49,138,10,1
C0964,2,24,6220.53,87,9,1
C0965,47,26,6589.16,182,0,0
C0966,31,30,5726.65,258,1,0
C0967,29,24,1575.52,204,8,1
C0968,4,13,9465.95,311,9,1
C0969,41,29,1760.52,40,6,0
C0970,7,3,5988.43,138,0,1
C0971,52,23,7224.54,326,6,1
C0972,12,24,4905.28,331,9,1
C0973,2,17,9771.89,336,0,0
C0974,52,7,935.85,63,2,0
C0975,53,4,4630.48,299,5,1
C0976,39,5,8788.06,77,2,0
C0977,6,6,3326.77,249,7,1
C0978,9,12,72.98,354,3,0
C0979,23,25,8924.6,64,6,0
C0980,30,23,1205.47,134,1,0
C0981,51,6,4993.21,363,7,1
C0982,13,5,2055.42,334,7,1
C0983,15,23,4926.24,131,2,0
C0984,7,22,8964.12,78,0,0
C0985,12,2,4420.91,123,7,1
C0986,17,4,3727.68,261,7,1
C0987,5,20,7103.65,148,2,0
C0988,56,22,3326.4,291,2,0
C0989,55,26,3333.57,329,0,0
C0990,37,12,3620.99,351,8,1
C0991,32,16,6097.56,362,9,1
C0992,15,13,2989.06,94,7,1
C0993,14,15,5870.46,233,2,0
C0994,47,21,1040.47,349,1,0
C0995,10,3,2431.57,54,1,0
C0996,41,3,2431.83,107,0,1
C0997,7,1,4780.47,97,5,1
C0998,49,22,491.3,134,6,1
C0999,37,9,9549.05,148,1,0
C1000,9,27,7306.38,93,3,0
C1001,59,2,5599.27,128,8,1
C1002,49,11,8870.52,243,0,0
C1003,49,25,7209.41,156,3,0
C1004,54,4,2523.09,7,8,1
C1005,23,18,8785.86,266,3,0
C1006,11,4,2290.65,58,6,1
C1007,53,24,5561.24,72,6,0
C1008,34,1,6191.85,306,3,1
C1009,29,3,3755.15,320,3,1
C1010,5,30,4518.94,279,4,0
C1011,39,18,5613.16,127,8,1
C1012,1,7,4470.42,143,10,1
C1013,29,29,7417.27,119,8,1
C1014,8,4,2272.15,107,7,1
C1015,4,22,2539.56,137,6,1
C1016,11,10,8431.02,161,4,1
C1017,55,16,8829.2,8,0,0
C1018,15,30,3592.97,333,8,1
C1019,34,5,8547.86,136,8,1
C1020,47,4,6688.0,262,0,1
C1021,43,18,8120.7,290,10,1
C1022,48,8,5198.87,165,0,0
C1023,9,24,9111.44,144,7,1
C1024,31,19,9754.1,85,5,0
C1025,48,12,2230.86,36,5,0
C1026,19,4,3245.22,121,3,1
C1027,48,2,4490.17,9,6,1
C1028,27,14,6826.58,253,0,0
C1029,43,23,4045.81,120,1,0
C1030,51,3,7200.4,357,1,1
C1031,7,19,3357.27,113,0,0
C1032,32,7,7277.65,98,4,0
C1033,15,16,4954.3,40,7,1
C1034,14,16,5743.75,334,3,1
C1035,7,26,5407.6,71,0,0
C1036,19,30,3742.13,67,0,0
C1037,52,4,3941.98,139,7,1
C1038,45,10,1313.44,221,8,1
C1039,18,30,4807.91,76,5,0
C1040,59,11,653.17,218,5,0
C1041,37,22,6078.75,172,3,0
C1042,59,15,6261.5,62,2,1
C1043,29,6,9069.93,18,9,0
C1044,36,27,6631.26,310,0,0
C1045,21,23,9754.27,165,0,0
C1046,35,4,5705.28,213,8,1
C1047,56,26,9378.5,135,4,0
C1048,21,23,4494.65,357,8,1
C1049,50,3,8252.5,229,4,1
C1050,19,6,384.48,162,4,0
C1051,41,12,9046.63,190,10,1
C1052,21,14,4869.24,144,0,0
C1053,12,2,1214.58,202,10,1
C1054,32,26,3193.79,306,10,1
C1055,16,2,9251.32,13,1,0
C1056,17,28,6295.33,156,0,0
C1057,41,18,569.02,323,7,1
C1058,2,19,768.0,131,4,0
C1059,23,10,5215.51,3,0,1
C1060,57,10,422.23,150,6,1
C1061,17,28,3619.91,320,7,1
C1062,25,17,7929.75,152,8,1
C1063,52,15,3542.52,185,6,1
C1064,2,10,9935.56,283,9,1
C1065,39,5,8603.79,203,6,1
C1066,9,11,4462.66,31,1,0
C1067,34,2,6981.97,309,5,1
C1068,48,3,937.31,260,1,1
C1069,11,22,8929.89,197,5,0
C1070,43,12,645.79,346,1,0
C1071,22,20,273.83,124,1,0
C1072,2,15,8686.78,37,7,0
C1073,41,14,6853.44,247,7,1
C1074,55,25,9707.83,339,6,1
C1075,57,7,8194.66,52,10,1
C1076,58,8,7780.09,81,3,0
C1077,30,13,4744.51,84,5,0
C1078,25,4,4162.28,131,4,1
C1079,18,13,5957.46,145,5,0
C1080,42,17,6089.04,93,4,0
C1081,6,22,5445.31,95,8,1
C1082,58,25,719.74,46,3,0
C1083,41,5,2754.97,350,10,1
C1084,18,25,4956.48,365,9,1
C1085,53,23,1613.33,297,7,1
C1086,48,23,3279.92,295,1,0
C1087,18,30,8352.51,272,9,1
C1088,20,1,8896.25,295,10,1
C1089,20,13,3430.58,279,4,0
C1090,16,29,9706.34,297,2,0
C1091,19,18,7427.44,258,7,1
C1092,36,1,6458.0,245,3,1
C1093,31,13,6677.49,345,7,1
C1094,27,26,2583.7,293,7,1
C1095,60,7,4555.01,24,5,0
C1096,55,5,3538.58,289,1,0
C1097,30,4,4263.37,276,9,1
C1098,29,10,4443.32,235,6,1
C1099,28,23,9506.45,30,9,0
C1100,8,20,1937.78,187,2,0
C1101,17,5,3457.99,337,10,1
C1102,40,7,1176.58,223,9,1
C1103,32,28,9287.08,8,8,0
C1104,27,25,8580.65,164,9,1
C1105,8,1,6302.09,335,6,1
C1106,47,26,2164.94,303,10,1
C1107,43,27,9803.88,249,0,0
C1108,55,9,7861.72,245,7,1
C1109,59,27,9943.86,140,0,0
C1110,29,28,8482.12,29,2,0
C1111,48,1,6987.26,185,5,1
C1112,19,9,6196.14,19,10,0
C1113,40,23,6248.71,276,5,0
C1114,21,5,3733.51,323,3,0
C1115,59,9,9341.24,282,4,0
C1116,47,11,7109.71,336,7,1
C1117,25,27,9398.29,345,6,1
C1118,14,8,8289.35,354,4,0
C1119,1,23,9051.59,171,0,0
C1120,58,11,9522.54,6,10,0
C1121,31,30,7350.62,67,8,0
C1122,45,25,1471.96,200,9,1
C1123,21,22,5099.72,285,7,1
C1124,4,23,5575.46,140,2,0
C1125,42,14,8178.22,12,3,0
C1126,28,26,6120.77,16,10,0
C1127,30,14,6829.37,157,4,0
C1128,42,29,7714.23,147,3,0
C1129,3,2,9607.03,309,6,1
C1130,52,4,4351.9,115,7,1
C1131,32,28,7820.25,349,8,1
C1132,17,5,2818.03,55,6,0
C1133,37,3,5884.87,200,3,1
C1134,44,14,5840.32,12,10,0
C1135,12,11,6093.48,177,0,0
C1136,39,3,3519.4,314,7,1
C1137,34,2,4829.56,261,2,1
C1138,14,2,4808.58,24,0,0
C1139,13,7,7554.43,158,9,1
C1140,2,5,2124.58,246,4,0
C1141,54,14,5763.47,90,4,0
C1142,7,18,87.62,357,6,1
C1143,44,19,6405.15,313,9,1
C1144,8,4,6466.37,90,9,1
C1145,55,10,4234.27,135,0,0
C1146,7,18,1599.11,237,9,1
C1147,58,4,2668.52,183,9,1
C1148,23,4,9773.98,335,2,1
C1149,2,26,1926.23,119,9,1
C1150,53,29,7506.0,31,5,0
C1151,25,14,6815.76,331,9,1
C1152,17,5,2207.59,149,3,0
C1153,14,24,4842.63,347,4,0
C1154,34,17,3034.1,125,7,1
C1155,47,16,2451.15,322,8,1
C1156,41,25,3278.81,125,0,0
C1157,47,6,8748.29,244,2,0
C1158,6,15,5775.78,39,6,0
C1159,3,27,3333.57,102,2,0
C1160,40,20,1499.61,336,10,1
C1161,20,22,7751.55,262,3,0
C1162,10,13,9543.98,237,7,1
C1163,38,29,2443.9,262,10,1
C1164,34,19,8329.54,305,1,0
C1165,55,17,9676.85,227,2,0
C1166,31,9,5003.74,276,6,1
C1167,59,20,880.48,151,0,0
C1168,46,28,8576.45,85,9,0
C1169,40,26,3839.94,94,4,0
C1170,21,16,2243.0,341,8,1
C1171,4,5,231.58,11,4,0
C1172,58,1,4628.91,53,9,1
C1173,5,5,5971.66,144,3,0
C1174,16,15,609.48,93,6,1
C1175,24,15,5314.63,52,4,0
C1176,15,26,3608.17,16,1,0
C1177,24,7,9031.26,339,1,1
C1178,8,24,3266.83,155,5,0
C1179,54,8,9546.2,47,3,0
C1180,45,2,7252.8,34,10,1
C1181,45,15,2788.56,98,1,0
C1182,29,12,4177.79,15,7,0
C1183,1,6,9440.01,362,7,1
C1184,14,15,2170.09,305,7,1
C1185,52,21,6606.7,43,0,0
C1186,57,10,5678.52,212,2,0
C1187,52,18,6184.98,81,2,0
C1188,44,29,2647.72,1,6,0
C1189,34,13,3379.66,355,9,1
C1190,28,30,4058.46,88,10,0
C1191,6,9,2533.03,278,0,0
C1192,54,16,880.43,286,0,0
C1193,3,10,3422.67,43,5,0
C1194,60,3,7091.93,293,5,1
C1195,40,30,8947.86,322,6,1
C1196,4,27,9643.04,247,6,1
C1197,39,25,1945.88,360,4,0
C1198,49,16,9967.06,311,6,1
C1199,27,2,8481.1,132,8,1
C1200,54,29,3356.26,77,5,0
C1201,1,27,2769.98,92,4,0
C1202,17,25,616.12,303,4,0
C1203,45,17,4179.56,57,7,0
C1204,17,29,1103.64,266,2,0
C1205,32,4,7943.68,154,8,1
C1206,36,27,7897.93,196,0,0
C1207,36,1,9475.14,291,7,1
C1208,43,26,8634.95,182,7,1
C1209,3,18,1745.52,252,8,1
C1210,25,28,9576.86,24,4,0
C1211,19,3,9027.97,143,2,1
C1212,40,30,2642.74,75,6,0
C1213,41,1,5323.85,32,5,0
C1214,5,11,8200.44,117,7,1
C1215,43,17,6596.36,91,6,1
C1216,33,9,8783.77,228,0,0
C1217,17,3,4139.26,289,10,1
C1218,33,4,2983.39,3,7,1
C1219,25,22,5412.78,225,10,1
C1220,1,2,4320.28,40,4,0
C1221,24,19,4750.46,344,3,0
C1222,42,26,4701.9,211,1,0
C1223,21,9,1258.91,236,1,0
C1224,2,26,4968.42,8,1,0
C1225,56,15,3511.24,57,8,0
C1226,1,29,4515.34,243,8,1
C1227,17,6,5093.69,189,5,0
C1228,7,17,6270.06,248,7,1
C1229,52,2,4363.01,250,2,1
C1230,45,3,6060.92,82,2,0
C1231,15,10,5882.64,61,4,0
C1232,41,19,7965.73,57,5,0
C1233,12,24,3667.26,249,8,1
C1234,15,7,4257.11,238,4,0
C1235,4,29,5262.58,296,1,0
C1236,50,2,3485.66,300,4,1
C1237,52,10,6896.33,322,6,1
C1238,38,24,8481.3,277,0,0
C1239,43,25,1693.46,208,2,0
C1240,14,14,1005.56,8,8,0
C1241,10,12,4934.35,337,0,0
C1242,55,13,8756.2,87,0,0
C1243,26,23,2447.53,32,3,0
C1244,60,11,6209.6,319,1,0
C1245,26,15,8995.16,40,6,0
C1246,10,19,4088.4,178,8,1
C1247,56,13,9240.74,99,6,1
C1248,55,2,1370.9,185,3,1
C1249,56,13,5158.65,97,2,0
C1250,40,5,1819.0,142,5,1
C1251,36,30,245.22,315,4,1
C1252,29,18,8017.53,238,3,0
C1253,58,21,8627.83,255,1,0
C1254,35,30,2040.89,148,1,0
C1255,4,21,94.43,200,5,0
C1256,33,10,9923.4,124,9,1
C1257,15,1,7576.85,142,6,1
C1258,4,8,7030.55,161,10,1
C1259,46,14,63.05,274,9,1
C1260,45,28,9519.72,255,0,0
C1261,37,28,8498.74,126,7,1
C1262,24,20,7978.18,146,4,0
C1263,40,2,6372.75,162,8,1
C1264,53,8,623.97,241,0,0
C1265,42,17,5790.65,82,7,0
C1266,24,4,9977.98,3,10,1
C1267,50,2,3240.38,323,0,1
C1268,58,28,1226.77,320,8,1
C1269,60,11,9159.79,169,4,0
C1270,58,18,5104.03,1,8,0
C1271,32,10,292.4,82,8,0
C1272,21,26,76.55,84,5,0
C1273,12,1,3735.99,72,8,1
C1274,24,3,3230.05,190,0,1
C1275,8,7,3328.29,130,7,1
C1276,6,3,8019.7,284,8,1
C1277,31,22,7619.65,177,0,0
C1278,8,7,9834.69,319,1,0
C1279,41,9,923.54,13,5,0
C1280,53,10,1063.19,12,0,0
C1281,41,30,465.06,141,5,0
C1282,28,19,6056.89,109,3,0
C1283,10,16,4101.3,320,2,0
C1284,25,18,5738.86,299,4,0
C1285,33,15,8381.78,104,0,0
C1286,10,22,3727.84,105,9,1
C1287,4,13,9788.66,188,6,1
C1288,13,14,8121.43,225,1,0
C1289,54,27,8484.18,105,7,1
C1290,14,20,8460.92,316,1,0
C1291,21,18,9885.23,36,9,0
C1292,28,13,5807.09,98,6,1
C1293,20,7,9680.81,180,10,1
C1294,45,7,886.18,157,5,0
C1295,39,26,2835.49,216,8,1
C1296,49,4,3713.19,279,9,1
C1297,21,4,9165.66,196,3,1
C1298,51,21,9294.41,56,8,0
C1299,36,19,4815.28,211,3,0
C1300,44,25,511.37,102,0,0
C1301,52,27,2141.4,114,8,1
C1302,34,21,7601.06,54,10,0
C1303,1,25,1494.5,14,9,0
C1304,43,5,4981.81,133,0,1
C1305,20,8,7759.09,280,6,1
C1306,60,13,4315.98,156,7,1
C1307,3,26,5021.46,79,6,1
C1308,11,15,3179.06,260,9,1
C1309,27,14,2065.25,258,0,0
C1310,32,7,5322.66,285,8,1
C1311,10,7,1939.58,23,9,0
C1312,6,20,7981.57,298,8,1
C1313,11,10,4668.21,26,10,0
C1314,24,4,5260.2,203,2,1
C1315,7,1,5656.26,339,10,1
C1316,57,26,6578.59,212,3,0
C1317,34,30,9852.7,90,8,0
C1318,5,29,4265.0,294,6,1
C1319,1,1,3815.1,205,8,1
C1320,44,30,5259.62,82,7,0
C1321,20,24,8662.59,190,2,0
C1322,18,13,3259.13,12,6,0
C1323,5,22,4523.39,69,2,0
C1324,7,22,6130.91,234,9,1
C1325,29,1,2208.59,22,8,1
C1326,4,17,2160.67,287,0,0
C1327,59,28,3490.17,133,4,0
C1328,30,18,5756.48,140,8,1
C1329,16,7,2587.03,163,8,1
C1330,25,30,6935.91,325,2,0
C1331,12,4,2204.69,344,8,1
C1332,45,1,4252.45,217,6,1
C1333,20,2,3235.76,328,9,1
C1334,57,19,4791.52,351,4,0
C1335,2,17,5012.06,285,0,0
C1336,14,15,5264.18,329,5,0
C1337,54,8,4416.21,65,6,0
C1338,56,17,5298.65,12,4,0
C1339,6,11,7875.87,164,7,1
C1340,35,21,1029.39,324,7,1
C1341,13,23,824.37,86,1,0
C1342,43,11,3907.59,71,4,0
C1343,39,9,9656.5,130,3,0
C1344,8,16,9761.52,82,7,0
C1345,52,2,3550.98,316,7,1
C1346,27,14,1391.88,271,4,0
C1347,59,30,4433.28,141,6,1
C1348,17,29,184.85,59,5,0
C1349,19,14,9706.72,72,1,0
C1350,45,16,5134.43,163,6,1
C1351,22,21,1295.89,176,10,1
C1352,55,10,1539.41,172,8,1
C1353,51,14,4048.91,90,9,0
C1354,39,2,9940.06,83,2,0
C1355,27,16,6178.12,23,6,0
C1356,7,11,9891.11,134,1,0
C1357,11,15,7186.83,120,8,1
C1358,27,22,5398.59,112,3,0
C1359,52,7,8351.45,342,9,1
C1360,34,13,1421.38,184,10,1
C1361,57,9,4260.9,257,6,1
C1362,12,19,4152.18,221,1,0
C1363,24,13,3760.61,138,10,1
C1364,36,2,5617.63,160,3,1
C1365,32,21,9264.25,362,4,0
C1366,38,6,4133.66,247,3,0
C1367,1,21,4017.95,27,1,0
C1368,28,14,8624.66,200,10,1
C1369,53,2,5875.44,223,1,1
C1370,19,20,7842.72,291,1,1
C1371,39,4,4325.41,183,10,1
C1372,38,28,3264.6,174,4,0
C1373,16,2,594.05,243,8,1
C1374,56,9,8549.4,67,10,0
C1375,32,24,3016.25,334,2,0
C1376,1,30,6484.76,93,2,0
C1377,44,18,5727.58,235,10,1
C1378,60,27,2015.18,256,3,0
C1379,27,13,3766.49,205,9,1
C1380,57,4,506.2,230,0,1
C1381,41,18,6803.62,207,1,0
C1382,53,16,977.41,343,4,1
C1383,10,12,383.57,12,6,0
C1384,10,15,9939.78,132,3,0
C1385,37,21,3100.73,344,6,1
C1386,22,5,9180.26,345,10,1
C1387,59,12,655.68,164,3,0
C1388,57,16,6735.52,135,1,0
C1389,27,1,1611.77,192,9,1
C1390,57,12,1962.85,282,8,1
C1391,47,16,3466.45,307,10,1
C1392,58,18,4960.76,163,9,1
C1393,60,24,1913.58,134,1,0
C1394,57,11,1678.32,272,2,0
C1395,4,26,8629.2,205,4,0
C1396,2,30,6605.74,322,2,0
C1397,32,15,7063.83,151,10,1
C1398,50,10,2311.27,75,9,0
C1399,23,22,4592.66,220,7,1
C1400,45,21,7328.04,363,0,0
C1401,55,29,4750.86,233,2,0
C1402,41,25,3963.78,141,9,1
C1403,31,5,7881.62,262,3,0
C1404,19,4,5651.06,6,6,1
C1405,29,21,8984.01,338,1,1
C1406,39,19,4450.81,150,4,0
C1407,40,17,1692.18,292,3,0
C1408,41,9,1354.79,66,8,0
C1409,23,17,3519.1,310,7,1
C1410,50,2,9676.74,93,4,1
C1411,34,19,760.82,176,10,1
C1412,24,16,5659.35,291,1,0
C1413,55,27,5311.48,134,3,0
C1414,23,29,3820.11,60,10,0
C1415,50,8,2903.87,136,4,0
C1416,56,15,6933.18,264,0,0
C1417,42,7,757.6,123,9,1
C1418,22,20,6502.25,123,5,0
C1419,35,24,7845.01,138,5,0
C1420,48,16,2132.25,354,1,0
C1421,11,3,6389.89,37,2,0
C1422,41,5,991.88,338,8,1
C1423,6,11,2597.47,254,8,1
C1424,33,19,2213.22,238,10,1
C1425,30,2,4901.55,190,0,1
C1426,29,1,6236.07,331,0,1
C1427,41,13,9329.8,198,10,1
C1428,14,6,4465.66,92,4,0
C1429,56,25,8780.21,104,2,0
C1430,29,5,83.0,254,9,1
C1431,34,2,2590.58,252,0,1
C1432,31,17,6234.04,329,3,0
C1433,60,17,5012.64,340,5,0
C1434,42,7,6222.15,319,6,1
C1435,54,27,1991.89,290,1,0
C1436,20,12,2807.25,56,10,0
C1437,35,22,2284.08,260,5,0
C1438,46,29,5708.56,270,2,0
C1439,10,24,6066.71,52,6,0
C1440,23,4,3191.01,296,5,1
C1441,11,16,9288.76,229,8,1
C1442,54,24,9939.29,51,5,0
C1443,48,8,1971.02,105,1,0
C1444,29,19,9410.77,117,1,0
C1445,14,21,3022.66,254,5,0
C1446,57,3,6181.79,217,1,1
C1447,55,15,3825.63,323,0,0
C1448,52,1,8027.62,23,2,0
C1449,28,10,6645.97,289,5,0
C1450,53,17,6719.74,238,0,0
C1451,23,4,6383.17,167,3,1
C1452,33,29,6535.87,333,6,1
C1453,13,4,6159.96,2,5,0
C1454,57,16,8355.12,197,9,1
C1455,14,6,7315.34,240,10,1
C1456,37,30,8289.13,86,7,0
C1457,54,26,3878.76,96,2,0
C1458,33,22,6129.67,163,3,0
C1459,48,29,3511.74,343,4,0
C1460,14,18,4945.39,337,0,0
C1461,29,20,1968.51,50,4,0
C1462,20,9,6558.69,138,1,0
C1463,37,13,6614.61,162,10,1
C1464,37,25,7640.53,197,2,0
C1465,43,7,5551.0,4,9,0
C1466,46,27,1454.01,253,7,1
C1467,43,3,8445.77,231,3,1
C1468,43,21,4169.59,170,0,0
C1469,4,11,6755.37,278,2,0
C1470,42,30,1229.94,16,3,0
C1471,35,14,4556.66,10,7,0
C1472,7,9,2814.34,192,6,1
C1473,28,30,817.86,209,6,1
