客户ID,最近一次消费(天前),消费频次,消费总金额,注册时长(月),会员等级
C0755,161,41,9159.54,48,金卡
C0756,222,31,14998.78,20,普通
C0757,156,16,15672.55,48,钻石
C0758,306,76,2010.7,27,钻石
C0759,307,35,6857.8,4,普通
C0760,351,11,18701.97,47,金卡
C0761,12,54,19435.39,45,银卡
C0762,329,49,13815.93,6,普通
C0763,360,68,12747.14,11,银卡
C0764,69,16,8119.73,10,普通
C0765,258,17,3081.3,6,银卡
C0766,256,46,18561.02,26,普通
C0767,196,80,11391.19,25,钻石
C0768,16,68,3911.38,18,普通
C0769,363,12,14927.82,1,普通
C0770,118,18,13257.87,41,银卡
C0771,325,46,9870.92,9,银卡
C0772,234,7,14084.01,11,普通
C0773,24,60,18261.74,18,银卡
C0774,316,64,14713.57,17,金卡
C0775,285,60,18788.55,10,银卡
C0776,46,38,6726.81,46,金卡
C0777,170,66,17697.45,42,普通
C0778,76,67,8018.7,25,普通
C0779,283,4,3511.38,12,普通
C0780,215,46,16951.61,31,普通
C0781,205,78,19322.48,3,银卡
C0782,12,33,17418.96,41,银卡
C0783,300,65,6643.12,26,钻石
C0784,133,27,753.78,25,普通
C0785,182,56,16114.92,15,银卡
C0786,252,68,10197.75,33,普通
C0787,196,45,8540.08,40,银卡
C0788,122,10,4159.77,43,钻石
C0789,214,17,17706.73,9,金卡
C0790,12,12,19846.19,47,金卡
C0791,285,49,231.97,18,普通
C0792,302,36,13324.91,29,钻石
C0793,41,74,12327.2,14,银卡
C0794,107,43,2469.0,47,银卡
C0795,267,76,15962.9,21,银卡
C0796,287,22,19017.23,37,普通
C0797,38,76,14240.39,8,普通
C0798,289,7,19142.81,15,普通
C0799,66,72,4825.4,23,金卡
C0800,210,61,4340.3,4,金卡
C0801,170,29,2565.59,47,普通
C0802,5,72,5154.16,33,金卡
C0803,207,68,14976.88,27,金卡
C0804,170,49,13790.89,10,银卡
C0805,86,48,15497.25,43,银卡
C0806,96,21,10534.47,11,银卡
C0807,1,15,10562.5,10,普通
C0808,108,6,8763.95,33,银卡
C0809,219,69,14563.49,44,钻石
C0810,217,63,18137.63,41,普通
C0811,10,79,18984.35,18,普通
C0812,283,29,9618.62,18,银卡
C0813,295,42,16627.47,31,普通
C0814,41,30,7180.41,13,普通
C0815,245,42,17949.6,44,金卡
C0816,169,77,12588.74,33,银卡
C0817,251,36,10772.11,30,钻石
C0818,45,9,14129.79,19,钻石
C0819,198,21,8599.42,21,金卡
C0820,334,16,15808.68,40,普通
C0821,132,43,4519.19,40,普通
C0822,163,10,15361.69,42,普通
C0823,58,79,8095.89,34,银卡
C0824,122,2,18274.62,4,银卡
C0825,106,45,14741.14,12,普通
C0826,57,51,15696.45,3,普通
C0827,168,74,9534.23,41,普通
C0828,144,19,2568.74,18,金卡
C0829,111,40,15457.25,39,普通
C0830,196,53,11088.28,37,银卡
C0831,131,56,13115.39,4,钻石
C0832,325,65,19418.02,18,普通
C0833,105,26,18204.29,36,普通
C0834,171,29,8800.74,16,普通
C0835,270,52,8034.89,48,普通
C0836,178,42,5261.23,27,金卡
C0837,177,32,11736.12,26,普通
C0838,224,63,17123.05,48,金卡
C0839,207,18,9940.66,4,银卡
C0840,106,51,18507.32,20,银卡
C0841,33,14,12006.05,10,银卡
C0842,179,53,8916.73,41,钻石
C0843,79,65,7320.39,3,普通
C0844,44,46,19398.51,47,金卡
C0845,333,28,11163.8,2,银卡
C0846,233,44,17501.3,36,普通
C0847,82,50,3688.74,17,普通
C0848,311,48,7983.42,42,银卡
C0849,148,51,100.43,36,银卡
C0850,12,62,16611.21,6,银卡
C0851,289,73,18766.26,39,银卡
C0852,234,62,7524.15,5,普通
C0853,347,36,6013.76,20,银卡
C0854,85,44,4159.87,7,普通
C0855,142,80,10852.88,34,金卡
C0856,126,67,15623.44,22,银卡
C0857,244,35,8827.5,28,普通
C0858,164,75,17962.91,31,普通
C0859,167,39,14519.42,17,银卡
C0860,363,27,12791.01,20,普通
C0861,222,69,9441.47,32,普通
C0862,211,73,3535.69,10,银卡
C0863,299,35,15365.25,4,普通
C0864,356,31,6004.24,8,普通
C0865,185,76,9303.07,8,钻石
C0866,340,7,2240.31,22,银卡
C0867,237,59,17183.22,19,银卡
C0868,135,31,13281.09,43,普通
C0869,275,62,2713.16,23,钻石
C0870,240,65,6768.49,17,普通
C0871,176,35,12980.75,47,银卡
C0872,159,13,7900.48,22,金卡
C0873,192,60,4319.23,43,普通
C0874,122,19,10751.31,24,普通
C0875,10,75,15725.84,23,普通
C0876,307,39,16665.64,24,钻石
C0877,51,53,8078.92,10,金卡
C0878,272,34,12579.99,8,金卡
C0879,211,22,4804.81,48,银卡
C0880,327,39,8908.59,20,普通
C0881,53,33,8038.92,38,钻石
C0882,228,13,5126.98,32,银卡
C0883,251,32,19485.16,8,银卡
C0884,164,74,6833.91,3,银卡
C0885,111,64,18779.66,24,银卡
C0886,207,5,2497.09,2,普通
C0887,199,13,434.93,30,普通
C0888,348,4,13198.12,3,金卡
C0889,225,5,18805.34,30,银卡
C0890,331,35,11513.75,32,银卡
C0891,359,77,3603.05,34,普通
C0892,349,13,7987.48,46,普通
C0893,187,75,16217.92,16,银卡
C0894,300,55,8931.13,44,普通
C0895,102,55,9761.8,16,普通
C0896,345,46,14079.46,39,普通
C0897,251,8,9116.37,9,银卡
C0898,110,35,15592.85,14,普通
C0899,177,14,15077.97,40,普通
C0900,140,25,990.21,30,钻石
C0901,159,22,9875.35,20,钻石
C0902,117,56,8133.51,44,钻石
C0903,161,62,14259.74,47,银卡
C0904,227,9,19016.35,18,银卡
C0905,12,26,14086.69,43,普通
C0906,27,59,13487.21,15,金卡
C0907,322,56,16877.44,36,金卡
C0908,200,4,10297.64,22,普通
C0909,343,54,4783.83,47,普通
C0910,303,34,14165.46,5,普通
C0911,260,67,7837.29,38,普通
C0912,65,17,19140.44,11,普通
C0913,321,22,6479.31,11,金卡
C0914,43,14,11732.34,42,银卡
C0915,76,43,16209.74,20,普通
C0916,164,58,19277.03,41,银卡
C0917,194,48,14016.33,12,普通
C0918,163,36,5763.88,5,普通
C0919,50,69,13331.37,45,普通
C0920,110,49,18431.26,13,银卡
C0921,10,44,2930.47,14,银卡
C0922,332,70,2050.33,38,普通
C0923,220,66,6053.12,7,银卡
C0924,144,64,18785.04,17,普通
C0925,69,22,606.63,5,普通
C0926,268,32,4006.61,21,普通
C0927,31,13,2270.28,29,普通
C0928,107,50,277.79,1,银卡
C0929,203,38,9400.82,31,普通
C0930,294,2,19828.12,43,银卡
C0931,223,14,19427.92,16,金卡
C0932,194,19,14822.23,24,普通
C0933,216,62,13796.41,5,银卡
C0934,95,13,10004.8,3,普通
C0935,269,67,7925.3,4,银卡
C0936,53,65,7829.12,37,普通
C0937,116,21,7773.1,20,银卡
C0938,206,33,12314.43,30,普通
C0939,302,79,1712.13,3,普通
C0940,351,30,12204.06,2,普通
C0941,129,73,712.15,37,银卡
C0942,250,2,4627.89,9,普通
C0943,339,15,14118.09,39,普通
C0944,28,16,11068.61,48,金卡
C0945,287,74,2041.83,26,钻石
C0946,73,75,7855.63,1,普通
C0947,90,16,19216.47,16,普通
C0948,128,51,14586.08,22,钻石
C0949,206,1,2854.88,8,普通
C0950,13,71,14171.39,30,普通
C0951,142,66,258.77,39,普通
C0952,189,70,4654.27,33,金卡
C0953,99,80,12793.63,1,普通
C0954,230,31,17713.52,21,金卡
C0955,246,40,6794.54,17,普通
C0956,112,45,2486.25,11,银卡
C0957,156,7,18151.56,6,普通
C0958,279,32,3828.5,37,普通
C0959,263,75,14145.35,37,银卡
C0960,113,44,16170.12,39,普通
C0961,253,64,1674.85,32,银卡
C0962,99,5,6940.72,33,普通
C0963,30,74,6104.12,9,普通
C0964,358,49,146.01,6,钻石
C0965,130,70,16192.57,41,银卡
C0966,303,42,4216.24,29,普通
C0967,133,15,15133.28,30,金卡
C0968,207,59,9322.53,43,普通
C0969,32,2,7786.09,15,普通
C0970,336,76,15990.81,30,银卡
C0971,343,30,16863.03,41,金卡
C0972,122,6,4591.55,12,普通
C0973,216,58,6699.95,32,金卡
C0974,136,44,2370.39,1,普通
C0975,144,69,17182.77,38,普通
C0976,225,28,16881.76,35,普通
C0977,177,50,439.7,22,金卡
C0978,84,62,1076.71,39,金卡
C0979,299,47,16361.69,46,金卡
C0980,245,53,16647.5,7,普通
C0981,248,74,9479.5,20,金卡
C0982,186,38,13488.54,23,普通
C0983,237,20,10259.13,30,普通
C0984,199,74,4241.26,33,普通
C0985,349,4,15176.32,38,普通
C0986,260,34,19134.93,25,银卡
C0987,179,54,277.59,28,普通
C0988,303,77,3680.83,42,银卡
C0989,209,9,4408.75,9,钻石
C0990,281,61,723.71,29,金卡
C0991,234,57,11943.06,30,普通
C0992,335,27,11411.59,27,普通
C0993,115,64,9395.3,12,金卡
C0994,228,9,13418.1,6,普通
C0995,225,31,19767.7,8,普通
C0996,306,54,3489.21,43,金卡
C0997,209,70,19338.37,42,钻石
C0998,148,26,3321.07,13,银卡
C0999,124,7,15766.48,14,银卡
C1000,118,33,5634.46,2,金卡
